Temp(C),Temp(K),Humidity,Pressure,Soil Moisture,Smoke Density,Air Density,Wind Speed,FFMC,DMC,DC,ISI,BUI,FWI,Risk
56.72,329.87,39.49,907.85,2.9,61.05,2.75,8.97,14.24,3.39,4.1,12.77,3.75,4.79,Low
59.98,333.13,36.62,914.75,4.44,55.06,2.75,1.12,9.09,5.13,6.96,1.02,6.04,0.62,Low
54.68,327.83,65.56,901.65,14.67,67.09,2.75,8.71,6.32,12.87,22.39,5.5,17.63,9.7,Low
57.09,330.24,56.87,907.99,6.29,61.99,2.75,8.76,13.29,9.29,7.06,11.64,8.17,9.51,Low
58.92,332.07,31.05,914.35,28.42,59.74,2.75,4.18,6.47,23.8,53.09,2.7,38.45,10.38,Low
57.64,330.79,46.09,909.02,14.74,56.68,2.75,1.92,6.55,21.88,16.58,1.26,19.23,2.42,Low
55.09,328.24,37.61,901.13,15.86,67.69,2.75,7.27,6.63,15.06,26.12,4.82,20.59,9.92,Low
54.64,327.79,42.03,900.18,1.98,35.15,2.75,4.63,5.27,1.88,2.19,2.44,2.04,0.5,Low
57.44,330.59,52.16,908.99,10.27,36.41,2.75,8.55,12.87,10.36,11.93,11,11.14,12.25,Low
55.61,328.76,73.58,903.82,29.31,59.82,2.75,4.84,11.61,37.63,37.79,5.62,37.71,21.19,Medium
57.38,330.53,59.91,908.05,22.55,64.03,2.75,7.22,8.29,19.04,35.92,5.99,27.48,16.46,Medium
56.43,329.58,81.25,906.93,10.49,36.27,2.75,8.51,17.04,10.4,18.25,14.5,14.32,20.76,Medium
54.22,327.37,85.92,904.12,38.51,68.51,2.76,7.37,16.51,35.34,62.2,12.17,48.77,59.35,Extreme
56.62,329.77,55.48,909.26,36.27,35.9,2.76,5.36,8.5,52.04,71.87,4.56,61.95,28.25,High
57.07,330.22,65.51,911.13,1.88,30.96,2.76,4.32,8.05,1.51,3.18,3.48,2.35,0.82,Low
56.02,329.17,72.38,910.01,15.2,40.7,2.76,6.17,8.14,8.02,23.5,5.02,15.76,7.91,Low
57.71,330.86,79.3,912.86,9.59,60.6,2.76,8.58,10.23,10.78,11.2,8.78,10.99,9.65,Low
55.71,328.86,41,908.89,8.55,58.41,2.76,8.39,6.92,9.5,15.05,5.81,12.28,7.13,Low
59.04,332.19,64.69,916.51,33.23,60.6,2.76,2.1,10.05,47.82,54.37,2.11,51.09,10.78,Low
58.76,331.91,46.66,917.44,21.73,39.66,2.76,4.69,8.54,12.83,37.5,4.01,25.16,10.09,Low
57.2,330.35,60.7,913.33,9.66,56.44,2.76,7.97,9.94,8.09,15.5,7.92,11.79,9.34,Low
54.44,327.59,74.7,904.6,39.7,35.44,2.76,2.52,7.67,33.98,61.35,1.93,47.66,9.2,Low
53.8,326.95,32.99,902.87,8.28,61.58,2.76,8.17,12.63,9.6,11.42,10.32,10.51,10.85,Low
54.25,327.4,37.71,905.08,22.16,64.09,2.76,0.85,12.16,30.7,36.09,1.03,33.4,3.44,Low
53.91,327.06,79.7,903.93,3.49,65.14,2.76,2.92,11.36,3.16,4.76,3.32,3.96,1.31,Low
58.5,331.65,65.14,916.6,16.51,34.95,2.76,2.74,14.06,17.81,23.85,3.85,20.83,8.02,Low
58.06,331.21,80.12,912.67,1.27,33.8,2.76,6.44,8.73,0.64,2.31,5.62,1.48,0.83,Low
56.21,329.36,31.47,909.07,15.23,63.85,2.76,6.16,10.63,19.92,19.44,6.55,19.68,12.89,Low
54.11,327.26,54.05,902.98,8.42,55.62,2.76,3.39,8.77,12.32,12.3,2.97,12.31,3.66,Low
55.92,329.07,71.82,908.84,38.2,65.37,2.76,3.23,6.84,52.06,49.25,2.21,50.66,11.2,Low
59.65,332.8,50.6,919.76,13.18,52.68,2.76,4.36,11.33,18.25,21.93,4.94,20.09,9.92,Low
56.18,329.33,70.52,907.47,6.98,44.01,2.76,9.22,8.84,4.67,8.95,8.15,6.81,5.55,Low
56.54,329.69,74.68,910.09,33.29,55.58,2.76,8.34,7.4,27.35,62.84,6.17,45.09,27.82,Medium
56.38,329.53,86.72,908.83,13.48,48.7,2.76,8.66,10.98,17.19,21.86,9.51,19.52,18.56,Medium
59.21,332.36,84.92,916.59,24.49,51.64,2.76,4.64,10.03,28.4,48.1,4.65,38.25,17.79,Medium
57.66,330.81,45.67,911.56,19.88,39.67,2.76,6.21,8.25,16.6,39.54,5.12,28.07,14.37,Medium
56.33,329.48,46.73,907.73,15.54,41.99,2.76,8.27,12.72,21.16,19.24,10.52,20.2,21.25,Medium
59.23,332.38,56.17,916.12,34.88,68.67,2.76,3.68,11.74,49.44,68.63,4.32,59.03,25.5,Medium
59.72,332.87,61.45,920.14,14.7,37.1,2.76,8.39,8.2,19.85,27.12,6.88,23.48,16.15,Medium
56.45,329.6,46.66,910.19,34.99,31.56,2.76,2.65,14.18,38.87,59.33,3.76,49.1,18.46,Medium
59.55,332.7,58.95,921.46,37.31,36.78,2.77,5.48,15.98,49.17,55.04,8.76,52.11,45.65,Extreme
54.93,328.08,58.85,907.32,26.34,51.95,2.77,7.01,14.41,20.76,39.28,10.1,30.02,30.32,High
53.28,326.43,66.53,904.76,39.88,36.61,2.77,6.3,9.52,34.92,62.44,6,48.68,29.21,High
53.77,326.92,67.67,904.18,32.94,68.35,2.77,6.24,11.95,21.86,57.4,7.46,39.63,29.56,High
54.97,328.12,66.16,908.63,33.12,42.29,2.77,8.41,15.92,19.51,35.28,13.39,27.4,36.69,High
57.51,330.66,80.19,917.27,38.98,31.16,2.77,5.2,14.56,40.54,65.65,7.57,53.09,40.19,High
54.69,327.84,32.02,908.53,31.29,54.25,2.77,7.98,9.99,17.2,58.96,7.97,38.08,30.35,High
53.47,326.62,54.41,904.44,30.05,34.31,2.77,9.24,8.06,40.74,53.64,7.45,47.19,35.16,High
56.17,329.32,57.65,912.44,26.28,55.3,2.77,8.22,14.53,20.97,37.88,11.94,29.43,35.14,High
58.69,331.84,44.33,918.43,12.54,48.78,2.77,2.28,14.89,12.14,18.73,3.39,15.44,5.23,Low
57.5,330.65,79.04,916.11,9.96,57.01,2.77,7.85,11.36,11.48,15.7,8.92,13.59,12.12,Low
59.51,332.66,60.75,919.96,29.75,48.91,2.77,2.1,9.88,39.82,35.35,2.07,37.59,7.78,Low
56.74,329.89,62.98,914.87,17.35,37.42,2.77,6.26,10.56,11.99,26.2,6.61,19.09,12.62,Low
57.58,330.73,34.08,914.87,14.16,37.08,2.77,5.68,7.74,11.54,26.92,4.4,19.23,8.46,Low
52.09,325.24,41.1,902.35,32.35,50.86,2.77,0.47,11.5,18.73,61.78,0.54,40.26,2.17,Low
54.69,327.84,31.78,909.75,10.49,35.34,2.77,8.29,5.47,11.22,16.09,4.53,13.66,6.19,Low
56.45,329.6,41.39,913.76,4.99,62.12,2.77,7.32,6.76,7.26,7.64,4.95,7.45,3.69,Low
54.08,327.23,71.37,905.94,39.37,40.24,2.77,2.01,13.8,37.8,40.23,2.77,39.02,10.81,Low
56.15,329.3,80.72,913.49,8.47,38,2.77,7.62,13.38,5.2,9.46,10.2,7.33,7.48,Low
53.83,326.98,61.91,905.84,12.13,45.62,2.77,8.58,8.15,8.36,12.35,6.99,10.36,7.24,Low
58.44,331.59,45.84,918.58,14.69,37.74,2.77,8.76,6.98,20.43,28.79,6.11,24.61,15.04,Medium
57.89,331.04,89.19,916.75,14.23,66.45,2.77,8.25,11.54,11.32,24.39,9.52,17.86,17,Medium
52.93,326.08,39.86,902.3,10.17,34.63,2.77,8.19,12.66,7.06,18.49,10.37,12.77,13.24,Medium
59.86,333.01,68.79,921.78,18.57,45.57,2.77,5.93,7.56,25.05,35.69,4.48,30.37,13.61,Medium
53.48,326.63,56.97,904.53,27.87,30.36,2.77,4.63,13.86,24.83,49.72,6.42,37.27,23.93,Medium
59.79,332.94,58.89,922.36,25.37,48.56,2.77,6.66,11.61,31.12,39.27,7.73,35.2,27.21,Medium
58.7,331.85,80.64,919.78,28.13,40.8,2.77,4.73,13.91,17.83,35.76,6.58,26.79,17.63,Medium
54.17,327.32,88.33,907.65,21.42,32.1,2.77,3.83,16.01,14.36,28.65,6.13,21.5,13.18,Medium
56.2,329.35,67.67,911.75,28.1,31.4,2.77,2.86,13.88,36.93,41.68,3.97,39.3,15.6,Medium
53.12,326.27,35.88,907.08,35.26,61.33,2.78,7.93,11.22,41.33,40.04,8.9,40.69,36.21,High
59.18,332.33,71.03,924.24,35.78,56.02,2.78,8.05,10.2,38.36,64.06,8.21,51.21,42.04,High
51.97,325.12,87.32,902.34,28.1,41.42,2.78,6.6,14.28,26.29,39.89,9.42,33.09,31.17,High
57.07,330.22,35.45,918.22,35.02,46.99,2.78,6.91,10.01,48.48,52.74,6.92,50.61,35.02,High
59.25,332.4,84.82,924.8,14.96,50.38,2.78,1.65,11.84,22.14,20.48,1.95,21.31,4.16,Low
53.81,326.96,42.11,907.51,11.6,66.52,2.78,6.71,6.63,12.55,22.62,4.45,17.59,7.83,Low
58.04,331.19,77.32,920.29,18.69,44.8,2.78,2.02,14.78,19.51,33.7,2.99,26.61,7.96,Low
58.83,331.98,79.34,924.11,26.86,67.22,2.78,2.13,10.98,28.06,49.34,2.34,38.7,9.06,Low
59.82,332.97,67.94,925.95,6.76,69.32,2.78,1.13,14.03,6.08,11.47,1.59,8.78,1.4,Low
55.41,328.56,36.04,913.97,1.36,69.12,2.78,6.67,8.02,1.06,2.29,5.35,1.68,0.9,Low
58.54,331.69,66.09,923.16,28.37,32.31,2.78,2.58,12.84,20.43,53.91,3.31,37.17,12.3,Low
51.36,324.51,33.46,901.97,9.96,61.74,2.78,7.73,13.84,10.96,10.51,10.7,10.73,11.48,Low
54.19,327.34,55.78,910.3,8.75,30.26,2.78,3.73,15.01,11.68,12.93,5.6,12.3,6.89,Low
57.76,330.91,36.37,920.03,8.45,62.3,2.78,1.92,5.54,4.63,16.28,1.06,10.46,1.11,Low
52.97,326.12,79.26,907.36,16.48,32.88,2.78,5.88,6.82,9.59,31.54,4.01,20.56,8.24,Low
50.23,323.38,63.31,900.13,2.19,59.24,2.78,4.5,15.25,3.16,3.83,6.86,3.5,2.4,Low
55.23,328.38,54.03,912.9,8.46,31.63,2.78,2.31,12.15,4.74,12.33,2.81,8.54,2.4,Low
57.05,330.2,45.39,917.62,33.46,58.05,2.78,2.1,5.7,40.77,64.31,1.2,52.54,6.3,Low
56.31,329.46,38.55,916.23,9.89,47.7,2.78,7.35,6.34,13.26,13.55,4.66,13.41,6.25,Low
52.74,325.89,49.75,907.2,12.93,50.59,2.78,1.76,9.17,12.83,15.61,1.61,14.22,2.29,Low
56.17,329.32,52.88,917.01,5.87,32.01,2.78,6.57,11.23,5.84,7.29,7.38,6.56,4.84,Low
57.5,330.65,87.61,917.96,26.7,62.27,2.78,3.6,13.12,20.51,32.84,4.72,26.68,12.59,Low
59.17,332.32,34.42,922.58,19.19,39.29,2.78,2.38,12.18,15.03,35.43,2.9,25.23,7.32,Low
57.78,330.93,77.32,921.07,2.47,64.54,2.78,7.19,15.71,1.91,3.84,11.3,2.88,3.25,Low
53.94,327.09,89.16,910.78,11.96,67.59,2.78,4.7,10.25,17.08,19.82,4.82,18.45,8.89,Low
59.3,332.45,76.34,925.16,15.17,69.88,2.78,3.64,14.18,21.08,28.18,5.16,24.63,12.71,Low
51.27,324.42,68.81,900.97,21.54,47.73,2.78,3.85,6.21,18.53,24.62,2.39,21.58,5.16,Low
52.4,325.55,30.13,903.98,13.55,45.46,2.78,2.56,9.62,9.71,22.48,2.46,16.09,3.96,Low
56.26,329.41,70.63,917.29,10.24,30.21,2.78,3.41,7.3,9.56,11.19,2.49,10.38,2.58,Low
58.77,331.92,59.59,921.92,21.17,64.04,2.78,1.67,13.67,20.07,26.66,2.28,23.37,5.33,Low
51.84,324.99,61.81,903.57,1.97,43.72,2.78,4.16,10.23,1.64,2.53,4.26,2.08,0.89,Low
52.65,325.8,31.4,904.32,36.06,34.25,2.78,7.2,5.79,30.09,46.13,4.17,38.11,15.89,Medium
57.72,330.87,53.89,919.61,24.65,41.98,2.78,6.49,11.17,24.85,38.17,7.25,31.51,22.84,Medium
57.88,331.03,48.47,919.02,24.18,54.6,2.78,5.38,12.2,15.5,24.95,6.56,20.23,13.27,Medium
51.17,324.32,51.38,901.17,36.62,67.21,2.78,3.98,8.99,50.3,50.34,3.58,50.32,18.01,Medium
57.89,331.04,88.87,918.77,19.84,54.3,2.78,8.34,10.84,21.61,23.56,9.04,22.59,20.42,Medium
54.2,327.35,37.89,911.07,25.68,40.58,2.78,7.02,12.81,14.99,43.3,8.99,29.14,26.2,Medium
52.3,325.45,54.98,903.42,38.49,69.26,2.78,4.95,8.3,29.48,55.06,4.11,42.27,17.37,Medium
56.46,329.61,34.16,917.3,14.21,52.76,2.78,7.51,8.5,14.9,26.05,6.38,20.48,13.07,Medium
59.73,332.88,82.72,926.11,7.67,30.69,2.78,8.24,15.89,9.69,12.5,13.09,11.09,14.52,Medium
58.99,332.14,89.68,922.89,14.52,54.66,2.78,8.18,16.15,8.56,19.52,13.21,14.04,18.55,Medium
53.71,326.86,50.1,908.72,28.25,65.46,2.78,4.97,12.72,36.61,49.09,6.32,42.85,27.08,Medium
57.47,330.62,75.6,923.82,24.78,51.76,2.79,8.11,15.99,33.95,36.58,12.97,35.27,45.75,Extreme
52.58,325.73,57.88,909.8,24.53,56.64,2.79,9.06,12.11,18.43,35.49,10.97,26.96,29.58,High
56.32,329.47,45.51,918.09,35.47,44.04,2.79,7.34,9.02,29.04,68.67,6.62,48.86,32.35,High
55.71,328.86,84.87,919.08,39.73,52.73,2.79,6.6,12.97,21.64,73.77,8.56,47.7,40.83,High
58.79,331.94,36.91,924.63,30.18,30.26,2.79,6.56,13.57,34.47,54.41,8.9,44.44,39.55,High
54.36,327.51,43.14,915.16,24.68,42.56,2.79,7.3,13.9,30.34,39.28,10.15,34.81,35.33,High
54.59,327.74,49.75,915.08,39.12,54.24,2.79,7.24,13.01,32.07,51.2,9.42,41.64,39.22,High
51.33,324.48,89.68,906.29,38.44,63.75,2.79,5.3,11.32,47.57,54.22,6,50.89,30.53,High
50.14,323.29,51.07,902.3,29.11,62.59,2.79,8.13,9.86,30.92,39.59,8.02,35.26,28.28,High
57.93,331.08,36.34,923.44,29.45,67.94,2.79,3.96,13.8,17.35,29.87,5.46,23.61,12.89,Low
59.76,332.91,84.78,927.54,4.67,31.1,2.79,6.78,12.05,5.34,4.69,8.17,5.02,4.1,Low
49.65,322.8,38.27,901.73,7.26,53,2.79,5.79,11.26,9.53,11.91,6.52,10.72,6.99,Low
57.37,330.52,82.47,921.19,7.67,65.62,2.79,8.49,11.82,6.75,13.84,10.04,10.29,10.33,Low
53.56,326.71,75.71,913.1,11.59,68.96,2.79,1.88,12.51,11.65,14.21,2.35,12.93,3.04,Low
55.86,329.01,79.35,916.89,33.93,68.52,2.79,2.74,8.67,49.09,58.96,2.38,54.03,12.86,Low
52.33,325.48,54.23,908.07,6.89,30.03,2.79,6.02,7.36,9.99,10.16,4.43,10.07,4.46,Low
52.21,325.36,79.89,906.2,29.34,38.99,2.79,5.09,8.69,18.25,30.8,4.42,24.52,10.84,Low
58.78,331.93,57.49,927.1,34.91,42.06,2.79,2.89,10.03,36.7,44.38,2.9,40.54,11.76,Low
58.85,332,40.89,925.43,15.11,64.72,2.79,6.13,6.08,18.37,17.43,3.73,17.9,6.68,Low
51,324.15,70.57,903.8,4.22,62.38,2.79,8.37,13.19,4.48,4.45,11.04,4.46,4.92,Low
56.22,329.37,65.93,918.44,32.33,62.48,2.79,0.62,7.05,36.46,46.3,0.44,41.38,1.82,Low
54.13,327.28,81.02,914.18,9.04,31.72,2.79,0.69,7.12,5.99,17,0.49,11.5,0.56,Low
57.15,330.3,85.72,921.25,11.01,30.24,2.79,5.15,15.98,11.28,14.48,8.23,12.88,10.6,Low
54.27,327.42,88.75,913.3,8.6,40.61,2.79,8.42,11.75,9.09,9.84,9.89,9.46,9.36,Low
59.56,332.71,68.77,929.83,28.75,65.41,2.79,2.71,11.47,22.61,33.6,3.11,28.11,8.74,Low
52.25,325.4,56.63,908.05,23.71,35.29,2.79,6.61,5.61,26.75,28.46,3.71,27.61,10.24,Low
55.72,328.87,47.81,918.6,21.03,58.29,2.79,1.87,10.08,10.52,29.93,1.88,20.23,3.8,Low
55.78,328.93,44.77,918.77,33.81,38.18,2.79,3.29,10.74,26.5,38.51,3.53,32.5,11.47,Low
53.39,326.54,74.91,911.06,25.32,65.53,2.79,6.02,10.44,21.76,30.78,6.28,26.27,16.5,Medium
56,329.15,33.06,918.88,34.98,68.41,2.79,5.93,5.55,48.03,56.99,3.29,52.51,17.28,Medium
56.91,330.06,33.17,919.22,31.17,48.87,2.79,6.89,5.77,31.41,38.16,3.98,34.78,13.84,Medium
50.19,323.34,57.74,903.31,20.68,54.79,2.79,7.35,8.83,14.13,29.44,6.49,21.79,14.14,Medium
54.9,328.05,36.99,913.77,26.13,35.08,2.79,8.57,7.88,28.82,32.92,6.75,30.87,20.84,Medium
58.52,331.67,52.13,925.24,31.16,62.97,2.79,5.76,6.64,15.76,58.68,3.82,37.22,14.22,Medium
59.44,332.59,72.86,927.78,13.67,65.65,2.79,7.46,14.04,10.56,16.52,10.47,13.54,14.18,Medium
54.47,327.62,39.88,912.58,32.81,66.36,2.79,6.44,10.82,20.86,52.53,6.97,36.7,25.58,Medium
56.34,329.49,71.22,918,23.33,35.98,2.79,7.39,12.82,15.67,28.15,9.47,21.91,20.75,Medium
56.42,329.57,83.72,920.7,14.66,57.82,2.79,5.82,13.11,14.15,23.28,7.63,18.71,14.28,Medium
55.55,328.7,75.08,918.61,16.15,69.14,2.79,4.74,13.11,21.85,31.67,6.21,26.76,16.62,Medium
49.78,322.93,66.32,900.73,30.54,38.84,2.79,7.19,6.85,42.86,52.71,4.93,47.78,23.56,Medium
57.16,330.31,71.66,921.65,10.46,47.25,2.79,5.77,14.97,14.46,19.36,8.64,16.91,14.61,Medium
49.29,322.44,41.54,901.68,32.67,52.3,2.8,9.03,11.23,45.97,59.52,10.14,52.75,53.49,Extreme
48.96,322.11,82.63,901.31,36.13,52.97,2.8,7.57,13.05,52.03,53.72,9.88,52.88,52.25,Extreme
52.12,325.27,85.91,910.9,32.42,49.94,2.8,8.02,15.85,25.37,46.25,12.71,35.81,45.51,Extreme
52.71,325.86,51.22,911.08,39.09,37.02,2.8,7,15.13,23.72,73.36,10.59,48.54,51.4,Extreme
54.41,327.56,87.11,918.37,34.44,54.44,2.8,8.18,9.69,35.75,41.31,7.93,38.53,30.55,High
49.41,322.56,65.47,901.77,36.14,49.04,2.8,8.03,10.61,36.46,65.81,8.52,51.14,43.57,High
52.12,325.27,30.11,909.2,37.08,43.39,2.8,7.89,13.63,31.18,37.28,10.75,34.23,36.8,High
56.02,329.17,30.13,922.22,5.87,52.21,2.8,1.51,13.38,5.11,6.75,2.02,5.93,1.2,Low
50.15,323.3,33.42,904.14,5.64,36.33,2.8,6.13,11.5,7.53,11.03,7.05,9.28,6.54,Low
58.31,331.46,59.15,927.24,32.29,54.87,2.8,3.66,12.24,20.32,33.18,4.48,26.75,11.98,Low
48.78,321.93,37.99,900.05,9.32,44.56,2.8,6.27,12.62,10.63,16.37,7.91,13.5,10.68,Low
54.09,327.24,87.06,917.47,15.43,66.69,2.8,3.78,9.43,10.54,27.92,3.56,19.23,6.85,Low
58.43,331.58,37.83,928.83,26.34,48.42,2.8,3.86,13.1,16.18,31.75,5.06,23.96,12.12,Low
54.3,327.45,63.69,915.25,35.4,33.87,2.8,1.31,15.43,49.7,61.17,2.02,55.44,11.2,Low
49.51,322.66,37.67,902.57,5.68,69.94,2.8,5,10.73,5.55,6.64,5.37,6.09,3.27,Low
52.11,325.26,78.34,910.28,29.75,33.06,2.8,2.73,14.57,19.79,45.36,3.98,32.58,12.97,Low
54.06,327.21,53.95,916.83,10.43,69.31,2.8,2.76,11.1,13.72,17.2,3.06,15.46,4.73,Low
54.87,328.02,30.24,917.9,2.6,54.78,2.8,3.71,4.32,1.71,2.99,1.6,2.35,0.38,Low
58.63,331.78,84.46,927.66,3.67,30.61,2.8,4.25,7.71,3.62,3.86,3.28,3.74,1.23,Low
50.53,323.68,72,906.84,28.28,61.71,2.8,2.74,8.75,23.52,38.49,2.4,31.01,7.44,Low
56.99,330.14,72.32,923.74,15.44,46.92,2.8,3.96,14.77,14.55,23.64,5.85,19.09,11.17,Low
48.96,322.11,50.78,900.8,4.46,63.42,2.8,2.19,12.08,5.57,7.91,2.65,6.74,1.79,Low
55.32,328.47,50.89,921.2,19.76,68.89,2.8,0.48,8.7,27.13,20.35,0.42,23.74,1,Low
